borough,boro,block,lot,bbl,hnum_lo,hnum_hi,str_name,crfn,grantee,deed_date,price,cap_rate,borough_cap_rate,yearqtr,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA,Location1
MN,1,461,22,1004610022,228,228,EAST 6 STREET,2020000000000,EVP 228 EAST 6TH ST LLC,04/23/2021,9371919,0.02672,0.0556,2021Q2,10003,40.727773,-73.98945,3,2,38,1006620,East Village,"(40.727773, -73.98945)"
MN,1,1041,64,1010410064,750,750,9 AVENUE,2020000000000,750 NINTH AVENUE LLC,07/31/2020,6000000,0.05189,0.06063,2020Q3,10019,40.76377,-73.98873,4,3,133,1025190,Clinton,"(40.76377, -73.98873)"
BK,3,1617,57,3016170057,963,963,GREENE AVENUE,2020000000000,957 GREENE AVE LLC,07/09/2018,15200000,0.02616,0.03538,2018Q3,11221,40.690975,-73.92884,3,36,387,3043904,Stuyvesant Heights,"(40.690975, -73.92884)"
MN,1,1646,15,1016460015,223,223,EAST 96 STREET,2020000000000,96TH STREET LOFTS LLC,11/08/2019,7500000,0.01974,0.04741,2019Q4,10128,40.784754,-73.948272,11,5,15602,1052369,East Harlem South,"(40.784754, -73.948272)"
BX,2,2666,22,2026660022,800,800,EAST 160 STREET,2020000000000,800 EAST 160TH STREET LLC,10/28/2020,5900000,0.03448,0.04708,2020Q4,10456,40.820099,-73.903321,1,17,77,2004791,Melrose South-Mott Haven North,"(40.820099, -73.903321)"
BX,2,3301,63,2033010063,2833,2835,BRIGGS AVENUE,2020000000000,2833 BRIGGS AVENUE LLC,10/31/2018,4458000,0.0299,0.03443,2018Q4,10458,40.868852,-73.889348,7,15,40501,,Bedford Park-Fordham North,"(40.868852, -73.889348)"
BK,3,5613,44,3056130044,983,983,46 STREET,2020000000000,983 46TH LLC,11/29/2018,4791000,0.02247,0.03398,2018Q4,11219,40.641055,-73.99755,12,38,112,3136585,Sunset Park East,"(40.641055, -73.99755)"
MN,1,1820,55,1018200055,146,146,WEST 111 STREET,2020000000000,"146 WEST 111TH OWNER, LLC",12/10/2018,5400000,0.02607,0.03253,2018Q4,10026,40.799473,-73.953548,10,9,216,1054936,Central Harlem South,"(40.799473, -73.953548)"
BX,2,3031,60,2030310060,4589,4589,PARK AVENUE,2020000000000,PARK PROPERTIES 4585-9 LLC,07/26/2018,4732800,0.02598,0.03426,2018Q3,10458,40.857166,-73.893647,6,15,38302,2011210,Fordham South,"(40.857166, -73.893647)"
QN,4,2289,20,4022890020,48-11,48-11,45 STREET,2020000000000,4811 45TH STREET LLC*ASHOUR ASSETS LLC,04/26/2018,6300000,0.01776,0.03129,2018Q2,11377,40.738997,-73.920467,2,26,18501,4053015,Hunters Point-Sunnyside-West Maspeth,"(40.738997, -73.920467)"
BX,2,3336,19,2033360019,136,136,EAST 208 STREET,2020000000000,829 BURKE AVE. CORP.,08/05/2020,4850000,0.0384,0.046565,2020Q3,10467,40.87795,-73.880249,7,11,419,2018043,Norwood,"(40.87795, -73.880249)"
MN,1,1922,6,1019220006,251,253,WEST 116 STREET,2020000000000,"247-253 WEST 116TH OWNER, LLC",12/10/2018,10300000,0.02345,0.03253,2018Q4,10026,40.80425,-73.954939,10,9,218,1058367,Central Harlem South,"(40.80425, -73.954939)"
BK,3,808,25,3008080025,548,548,52 STREET,2020000000000,AADVA REALTY LLC*K S TURNPIKE LLC,09/26/2018,4000000,0.02163,0.03538,2018Q3,11220,40.643325,-74.010407,7,38,100,3013956,Sunset Park East,"(40.643325, -74.010407)"
BX,2,3354,1,2033540001,365,365,EAST 205 STREET,2020000000000,365 EAST 205 LLC,05/06/2019,3825000,0.03608,0.03691,2019Q2,10467,40.873257,-73.875546,7,11,42901,2018552,Norwood,"(40.873257, -73.875546)"
BK,3,6801,56,3068010056,1775,1775,EAST 18 STREET,2020000000000,1775 EAST 18TH STREET LLC,08/28/2018,27700000,0.02761,0.03538,2018Q3,11229,40.606932,-73.955015,15,48,552,3183160,Madison,"(40.606932, -73.955015)"
MN,1,2071,61,1020710061,3430,3438,BROADWAY,2020000000000,3430 BWAY OWNER LLC,06/26/2018,26200000,0.01767,0.03345,2018Q2,10031,40.823168,-73.95282,9,7,225,1061751,Hamilton Heights,"(40.823168, -73.95282)"
MN,1,2142,81,1021420081,642,642,WEST 172 STREET,2020000000000,642 W 172 WH REALTY LLC,01/21/2021,4400000,0.0556,0.05881,2021Q1,10032,40.844203,-73.939667,12,10,253,1063489,Washington Heights South,"(40.844203, -73.939667)"
QN,4,10361,50,4103610050,102-04,102-04,184 STREET,2020000000000,Q184 LLC,05/23/2019,4459459,0.03914,0.03942,2019Q2,11423,40.706979,-73.773393,12,27,404,4220679,St. Albans,"(40.706979, -73.773393)"
MN,1,1872,61,1018720061,832,838,WEST END AVENUE,2020000000000,838 WEST END AVENUE MANHATTAN LLC,07/31/2018,64500000,0.02274,0.03329,2018Q3,10025,40.798387,-73.970911,7,6,187,1056493,Upper West Side,"(40.798387, -73.970911)"
MN,1,2144,45,1021440045,1341,1349,ST NICHOLAS AVENUE,2020000000000,1341 REALTY GROUP LLC,05/30/2019,15210000,0.02128,0.0351,2019Q2,10033,40.847022,-73.935421,12,10,263,1063551,Washington Heights South,"(40.847022, -73.935421)"
