borough,boro,block,lot,bbl,hnum_lo,hnum_hi,str_name,crfn,grantee,deed_date,price,cap_rate,borough_cap_rate,yearqtr,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA,Location1
MN,1,310,40,1003100040,61,63,HESTER STREET,2020000000000,34 LUDLOW REALTY LLC,04/08/2020,6400000,0.0544,0.06158,2020Q2,10002,40.715768,-73.990437,3,1,16,1004051,Chinatown,"(40.715768, -73.990437)"
BX,2,2426,56,2024260056,1190,1190,CLAY AVENUE,2020000000000,1190 CLAY REALTY LLC,12/05/2018,1730000,0.03243,0.03443,2018Q4,10456,40.831921,-73.91086,4,16,17701,2002079,East Concourse-Concourse Village,"(40.831921, -73.91086)"
BK,3,5646,13,3056460013,1016,1016,50 STREET,2020000000000,1016 50TH LLC,11/29/2018,10752000,0.03021,0.03398,2018Q4,11219,40.63814,-73.9988,12,44,114,3137933,Borough Park,"(40.63814, -73.9988)"
BK,3,7674,47,3076740047,2016,2026,AVENUE N,2020000000000,NOCEAN ASSETS LLC,01/10/2019,15846742,0.02925,0.03386,2019Q1,11210,40.616236,-73.95391,14,48,546,,Midwood,"(40.616236, -73.95391)"
BK,3,1173,7,3011730007,195,195,UNDERHILL AVENUE,2020000000000,195 UNDERHILL LLC,12/31/2020,8200000,0.0326,0.0624,2020Q4,11238,40.674968,-73.966725,8,35,207,3029366,Prospect Heights,"(40.674968, -73.966725)"
BK,3,951,46,3009510046,70,70,7 AVENUE,2020000000000,VM REALTY 6 LLC,06/12/2020,3000000,0.05359,0.056205,2020Q2,11217,40.675362,-73.974861,6,39,159,3019643,Park Slope-Gowanus,"(40.675362, -73.974861)"
BK,3,1420,20,3014200020,826,826,CROWN STREET,2020000000000,STF 826 CROWN STREET HOLDING LLC,06/22/2018,11450000,0.02996,0.03671,2018Q2,11213,40.665155,-73.930176,9,41,355,3038309,Crown Heights South,"(40.665155, -73.930176)"
BX,2,3000,7,2030000007,1468,1468,BRYANT AVENUE,2020000000000,1468 BRYANT REALTY LLC,06/07/2018,5200000,0.02882,0.03665,2018Q2,10460,40.832046,-73.887743,3,17,157,2010845,Crotona Park East,"(40.832046, -73.887743)"
BX,2,4318,30,2043180030,2197,2197,CRUGER AVENUE,2020000000000,2197-2199 CRUGER ASSOCIATES LLC,08/22/2018,13000000,0.02822,0.03426,2018Q3,10462,40.856265,-73.866649,11,13,22403,2049398,Pelham Parkway,"(40.856265, -73.866649)"
MN,1,2136,98,1021360098,655,655,WEST 160 STREET,2020000000000,"655 WEST 160TH OWNER, LLC",12/10/2018,11300000,0.02302,0.03253,2018Q4,10032,40.836804,-73.945586,12,7,247,1063324,Washington Heights South,"(40.836804, -73.945586)"
MN,1,2110,70,1021100070,452,452,WEST 164 STREET,2020000000000,452 W 164 REALTY LLC,04/17/2018,4795000,0.02923,0.03345,2018Q2,10032,40.836877,-73.938022,12,10,24301,1062622,Washington Heights South,"(40.836877, -73.938022)"
BK,3,1794,9,3017940009,340,340,CLIFTON PLACE,2020000000000,CSC 340 CLIFTON LLC,05/16/2019,7600000,0.02757,0.03325,2019Q2,11216,40.689177,-73.950856,3,36,251,3050168,Bedford,"(40.689177, -73.950856)"
MN,1,461,45,1004610045,223,223,EAST 5 STREET,2020000000000,EVP 223 EAST 5TH ST LLC,04/23/2021,8159083,0.04121,0.0556,2021Q2,10003,40.727427,-73.990504,3,2,38,1006636,East Village,"(40.727427, -73.990504)"
BK,3,5927,24,3059270024,150,150,74 STREET,2020000000000,COLONIAL RIDGE ASSETS LLC,01/10/2019,16086846,0.03224,0.03386,2019Q1,11209,40.633025,-74.031215,10,43,36,3148192,Bay Ridge,"(40.633025, -74.031215)"
QN,4,1616,24,4016160024,99-42,99-42,41 AVENUE,2020000000000,HILLSTONE REALTY LLC,02/12/2021,4800000,0.0472,0.04961,2021Q1,11368,40.747981,-73.865224,4,21,407,4040480,North Corona,"(40.747981, -73.865224)"
QN,4,10362,1,4103620001,102-31,102-31,184 STREET,2020000000000,Q184 LLC,05/23/2019,4831081,0.03915,0.03942,2019Q2,11423,40.706954,-73.773365,12,27,404,4448446,St. Albans,"(40.706954, -73.773365)"
MN,1,1428,21,1014280021,1403,1403,2 AVENUE,2020000000000,241E 73ST LLC,06/25/2019,17500000,0.01898,0.0351,2019Q2,10021,40.769632,-73.957768,8,4,126,1043993,Lenox Hill-Roosevelt Island,"(40.769632, -73.957768)"
BK,3,748,53,3007480053,557,557,46 STREET,2020000000000,545-553-557 46TH STREET LLC,01/09/2020,3500000,0.03715,0.05115,2020Q1,11220,40.646624,-74.006771,7,38,96,3011633,Sunset Park East,"(40.646624, -74.006771)"
BK,3,1243,68,3012430068,1043,1047,STERLING PLACE,2020000000000,"1043 STERLING RESIDENCES, LLC",05/03/2018,6025000,0.03004,0.03671,2018Q2,11213,40.672187,-73.943777,8,36,341,3031680,Crown Heights North,"(40.672187, -73.943777)"
QN,4,713,47,4007130047,30-63,30-63,44 STREET,2020000000000,"RI EQUITIES, LLC",11/01/2018,5100000,0.02672,0.03303,2018Q4,11103,40.760747,-73.913128,1,22,151,4012611,Astoria,"(40.760747, -73.913128)"
BK,3,6700,18,3067000018,862,862,EAST 17 STREET,2020000000000,862 EAST 17 STREET LLC,10/16/2019,3150000,0.02725,0.04544,2019Q4,11230,40.629713,-73.960328,14,45,532,3179389,Midwood,"(40.629713, -73.960328)"
MN,1,2137,40,1021370040,80,80,FT WASHINGTON AVENUE,2020000000000,80 FT WASHINGTON LLC,10/30/2018,26839208,0.02569,0.03253,2018Q4,10032,40.837989,-73.943923,12,7,245,1063357,Washington Heights South,"(40.837989, -73.943923)"
BK,3,6107,25,3061070025,354,354,93 STREET,2020000000000,"M&M 354 REALTY, LLC",06/14/2018,8025000,0.0326,0.03671,2018Q2,11209,40.618148,-74.03164,10,43,58,3155252,Bay Ridge,"(40.618148, -74.03164)"
MN,1,1994,62,1019940062,183,187,CLAREMONT AVENUE,2020000000000,185-187 CLAREMONT AVE. LLC,08/05/2020,15800000,0.04838,0.06063,2020Q3,10027,40.814756,-73.96029,9,7,211,1059872,Morningside Heights,"(40.814756, -73.96029)"
BK,3,6760,62,3067600062,1561,1561,EAST 13 STREET,2020000000000,EAST 13 ASSETS LLC,01/10/2019,18007663,0.0262,0.03386,2019Q1,11230,40.611279,-73.960634,14,48,542,3181781,Midwood,"(40.611279, -73.960634)"
MN,1,1901,19,1019010019,125,125,WEST 116 STREET,2020000000000,"125 WEST 116TH OWNER, LLC",12/10/2018,7300000,0.03064,0.03253,2018Q4,10026,40.80242,-73.950602,10,9,218,1057402,Central Harlem South,"(40.80242, -73.950602)"
BX,2,4310,8,2043100008,1150,1150,PELHAM PARKWAY SOUTH,2020000000000,GROUP GJONAJ LLC,06/26/2020,10000000,0.04063,0.0451,2020Q2,10461,40.856993,-73.855347,11,13,288,2049244,Pelham Parkway,"(40.856993, -73.855347)"
MN,1,1436,33,1014360033,348,348,EAST 62 STREET,2020000000000,348 EAST 62ND LLC,02/19/2019,11833334,0.02851,0.03299,2019Q1,10065,40.761862,-73.961509,8,5,110,1044239,Lenox Hill-Roosevelt Island,"(40.761862, -73.961509)"
MN,1,1615,11,1016150011,19,21,EAST 109 STREET,2020000000000,19 E 109 REALTY LLC,06/24/2021,5500000,0.04473,0.0556,2021Q2,10029,40.795774,-73.948624,11,9,17401,1051600,East Harlem South,"(40.795774, -73.948624)"
BX,2,2511,68,2025110068,957,963,WOODYCREST AVENUE,2020000000000,ICER OF WOODYCREST AVE LLC,07/12/2019,9300000,0.0348,0.03926,2019Q3,10452,40.83167,-73.928754,4,8,189,2003187,Highbridge,"(40.83167, -73.928754)"
BX,2,3305,10,2033050010,2850,2850,GRAND CONCOURSE,2020000000000,2850 GC LLC,03/22/2021,3100000,0.04233,0.04804,2021Q1,10458,40.870247,-73.890817,7,15,40702,2017168,Bedford Park-Fordham North,"(40.870247, -73.890817)"
BK,3,6380,1,3063800001,8678,8678,BAY PARKWAY,2020000000000,"BAYVILLE ARMS, LLC",09/12/2019,7225000,0.02695,0.032885,2019Q3,11214,40.600581,-73.995243,11,47,290,3167050,Bensonhurst West,"(40.600581, -73.995243)"
MN,1,407,54,1004070054,513,513,EAST 13 STREET,2020000000000,513 EAST 13TH ASSOCIATES LLC,09/09/2020,2800000,0.03063,0.06063,2020Q3,10009,40.729391,-73.98004,3,2,34,1005262,East Village,"(40.729391, -73.98004)"
MN,1,1838,21,1018380021,50,56,MANHATTAN AVENUE,2020000000000,"50-56 MANHATTAN AVENUE, LLC",08/29/2019,15734353,0.02565,0.03531,2019Q3,10025,40.796329,-73.963161,7,7,189,1055398,Upper West Side,"(40.796329, -73.963161)"
QN,4,594,31,4005940031,29-12,29-12,NEWTOWN AVENUE,2020000000000,29-12 NEWTOWN LLC,05/24/2018,5560000,0.0306,0.03129,2018Q2,11102,40.76902,-73.921984,1,22,71,4007670,Old Astoria,"(40.76902, -73.921984)"
BX,2,3317,34,2033170034,12,12,EAST 196 STREET,2020000000000,12 EAST 196 LLC,10/09/2018,6450000,0.03127,0.03443,2018Q4,10468,40.869052,-73.89566,7,14,40304,2017488,Van Cortlandt Village,"(40.869052, -73.89566)"
BX,2,2835,16,2028350016,1515,1515,GRAND CONCOURSE,2020000000000,1515 REALTY LLC,02/06/2020,13757983,0.04038,0.04097,2020Q1,10452,40.841551,-73.912506,4,14,209,2008009,West Concourse,"(40.841551, -73.912506)"
BK,3,5320,24,3053200024,23,45,CATON PLACE,2020000000000,33 CATON PLACE HOLDINGS LLC,10/17/2018,74700000,0.02791,0.03398,2018Q4,11218,40.649366,-73.973671,7,39,504,3124033,Windsor Terrace,"(40.649366, -73.973671)"
MN,1,438,51,1004380051,253,253,EAST 10 STREET,2020000000000,EVP 253 EAST 10TH ST LLC,04/23/2021,9041146,0.02407,0.0556,2021Q2,10009,40.728525,-73.983829,3,2,34,1005963,East Village,"(40.728525, -73.983829)"
MN,1,2165,65,1021650065,1469,1469,ST NICHOLAS AVENUE,2020000000000,1469 ST. NICHOLAS PARTNERS LLC,09/27/2018,6800000,0.02997,0.03329,2018Q3,10033,40.850806,-73.932659,12,10,271,1063958,Washington Heights North,"(40.850806, -73.932659)"
MN,1,401,15,1004010015,510,512,EAST 6 STREET,2020000000000,510 EAST 6TH STREET LLC,12/12/2018,7000000,0.02899,0.03253,2018Q4,10009,40.725234,-73.983415,3,2,32,1005048,East Village,"(40.725234, -73.983415)"
MN,1,1903,62,1019030062,1975,1977,ADAM C POWELL BLVD,2020000000000,ALEM AC LLC,05/17/2018,5225000,0.02658,0.03345,2018Q2,10026,40.804976,-73.951232,10,9,220,1057518,Central Harlem South,"(40.804976, -73.951232)"
BK,3,6552,8,3065520008,6301,6301,BAY PARKWAY,2020000000000,WOOTOS REALTY INC.,08/28/2018,6100000,0.02901,0.03538,2018Q3,11204,40.614918,-73.980298,11,44,436,3172183,Bensonhurst East,"(40.614918, -73.980298)"
QN,4,5186,29,4051860029,140-60,140-60,BEECH AVENUE,2020000000000,140-60 BEECH LLC,05/31/2019,37500000,0.03861,0.03942,2019Q2,11355,40.754651,-73.822958,7,20,859,4117154,Flushing,"(40.754651, -73.822958)"
MN,1,1522,37,1015220037,1670,1670,3 AVENUE,2020000000000,1670 THIRD AVENUE OWNER LLC,01/13/2021,6650000,0.04717,0.05881,2021Q1,10128,40.783613,-73.950497,8,5,15801,1048397,Upper East Side-Carnegie Hill,"(40.783613, -73.950497)"
MN,1,2142,63,1021420063,633,633,WEST 171 STREET,2020000000000,633 W 171 WH REALTY LLC,01/21/2021,6000000,0.04923,0.05881,2021Q1,10032,40.843468,-73.939733,12,10,253,1063484,Washington Heights South,"(40.843468, -73.939733)"
BX,2,2487,20,2024870020,1075,1075,GERARD AVENUE,2020000000000,1075 GERARD AVE. LLC,06/25/2019,15847500,0.03643,0.03691,2019Q2,10452,40.832563,-73.921982,4,16,195,2116407,West Concourse,"(40.832563, -73.921982)"
MN,1,2072,6,1020720006,563,563,WEST 140 STREET,2020000000000,"561 WEST 140TH RESIDENCES, LLC",07/24/2018,7425000,0.03086,0.03329,2018Q3,10031,40.822896,-73.951859,9,7,225,1061759,Hamilton Heights,"(40.822896, -73.951859)"
BK,3,826,2,3008260002,5413,5419,7 AVENUE,2020000000000,5413 PLAZA LLC,02/16/2021,5000000,0.03441,0.0638,2021Q1,11220,40.640042,-74.008395,7,38,106,,Sunset Park East,"(40.640042, -74.008395)"
BK,3,7345,41,3073450041,1247,1247,AVENUE V,2020000000000,1247 AVE V LLC,06/13/2019,2600000,0.02202,0.03325,2019Q2,11229,40.596448,-73.958478,15,48,582,3199459,Homecrest,"(40.596448, -73.958478)"
BX,2,3316,26,2033160026,2718,2718,MORRIS AVENUE,2020000000000,2718 MORRIS AVE. LLC,07/12/2018,6600000,0.0326,0.03426,2018Q3,10468,40.86804,-73.89551,7,14,40304,2017477,Van Cortlandt Village,"(40.86804, -73.89551)"
BK,3,234,43,3002340043,12,14,CLARK STREET,2020000000000,M & M CLARK REALTY LLC,11/02/2020,5950000,0.04038,0.0624,2020Q4,11201,40.698204,-73.995784,2,33,301,3001754,Brooklyn Heights-Cobble Hill,"(40.698204, -73.995784)"
BX,2,2703,50,2027030050,957,959,KELLY STREET,2020000000000,957 KELLY REALTY LLC,01/22/2019,7800000,0.03052,0.03667,2019Q1,10459,40.821668,-73.895883,2,17,87,,Longwood,"(40.821668, -73.895883)"
BK,3,5685,41,3056850041,5512,5520,15 AVENUE,2020000000000,5520 15TH AVENUE LLC,09/04/2018,15000000,0.03403,0.03538,2018Q3,11219,40.628846,-73.99139,12,44,240,3139816,Borough Park,"(40.628846, -73.99139)"
BX,2,3145,10,2031450010,2238,2238,VALENTINE AVENUE,2020000000000,2238 VALENTINE REALTY LLC,06/21/2021,2200000,0.04604,0.04835,2021Q2,10457,40.855963,-73.898515,5,15,38301,2013403,Fordham South,"(40.855963, -73.898515)"
BX,2,2800,8,2028000008,1824,1824,WEEKS AVENUE,2020000000000,WEEKS AVENUE ASSOCIATES HOLDINGS LLC,06/28/2019,5812000,0.03377,0.03691,2019Q2,10457,40.847275,-73.907322,5,15,22901,2007514,Mount Hope,"(40.847275, -73.907322)"
MN,1,1988,37,1019880037,502,502,WEST 135 STREET,2020000000000,502 W 135 BH LLC,03/07/2019,3700000,0.0302,0.03299,2019Q1,10031,40.819123,-73.95266,9,7,22301,1059769,Manhattanville,"(40.819123, -73.95266)"
BK,3,6592,43,3065920043,1820,1820,CONEY ISLAND AVENUE,2020000000000,1820 CONEY ISLAND LLC,02/08/2019,2425000,0.02394,0.03386,2019Q1,11230,40.613264,-73.963006,12,44,442,3174034,Ocean Parkway South,"(40.613264, -73.963006)"
BK,3,1386,54,3013860054,1519,1525,LINCOLN PLACE,2020000000000,1519 LINCOLN HOLDINGS LLC,06/30/2021,3240000,0.05634,0.062835,2021Q2,11213,40.669487,-73.926285,8,36,357,,Crown Heights North,"(40.669487, -73.926285)"
BX,2,5394,1,2053940001,1580,1580,EDISON AVENUE,2020000000000,AG BRONX PROPERTIES LLC,03/16/2021,4800000,0.03951,0.04804,2021Q1,10461,40.843091,-73.832922,10,13,264,2074660,Schuylerville-Throgs Neck-Edgewater Park,"(40.843091, -73.832922)"
BX,2,4319,25,2043190025,2198,2198,CRUGER AVENUE,2020000000000,2198 CRUGER ASSOCIATES LLC,08/22/2018,22500000,0.02635,0.03426,2018Q3,10462,40.856317,-73.866627,11,13,22403,2049406,Pelham Parkway,"(40.856317, -73.866627)"
BK,3,3909,8,3039090008,1,1,ELTON STREET,2020000000000,"UNITED ELTON LLC*AHDOOT, RAMIN",07/10/2018,5750000,0.03392,0.03538,2018Q3,11208,40.6836,-73.885595,5,37,117202,3086553,Cypress Hills-City Line,"(40.6836, -73.885595)"
BX,2,3040,22,2030400022,2383,2383,WASHINGTON AVENUE,2020000000000,2383 WASHINGTON LLC,11/25/2020,3200000,0.04385,0.04708,2020Q4,10458,40.85731,-73.891467,6,15,385,2011400,Claremont-Bathgate,"(40.85731, -73.891467)"
MN,1,1522,37,1015220037,1670,1670,3 AVENUE,2020000000000,FALCON REALTY LLC,12/25/2019,7097381,0.04451,0.04741,2019Q4,10128,40.783613,-73.950497,8,5,15801,1048397,Upper East Side-Carnegie Hill,"(40.783613, -73.950497)"
BX,2,3333,9,2033330009,3050,3050,PERRY AVENUE,2020000000000,3050 PERRY AVE. BRONX LLC,09/06/2018,7840000,0.03392,0.03426,2018Q3,10467,40.87241,-73.879883,7,11,425,2017938,Norwood,"(40.87241, -73.879883)"
MN,1,280,6,1002800006,33,33,HENRY STREET,2020000000000,33 HENRY STREET CC LLC,12/18/2018,5725000,0.02834,0.03253,2018Q4,10002,40.712905,-73.995946,3,1,8,1003403,Chinatown,"(40.712905, -73.995946)"
MN,1,1236,34,1012360034,590,590,AMSTERDAM AVENUE,2020000000000,GPG 590 LLC,08/14/2018,8600000,0.01738,0.03329,2018Q3,10024,40.789335,-73.973825,7,6,175,1033297,Upper West Side,"(40.789335, -73.973825)"
QN,4,1780,95,4017800095,108-06,108-06,39 AVENUE,2020000000000,"59-01 MASPETH AVENUE, INC.",06/30/2021,2794000,0.03728,0.048,2021Q2,11368,40.751679,-73.858647,3,21,401,4044857,North Corona,"(40.751679, -73.858647)"
QN,4,15567,14,4155670014,18-15,18-15,EVERDELL AVENUE,2020000000000,HF ROCKAWAY LLC,12/14/2020,5340000,0.04921,0.05454,2020Q4,11691,40.600854,-73.750829,14,31,101001,4298336,Far Rockaway-Bayswater,"(40.600854, -73.750829)"
MN,1,1519,22,1015190022,151,151,EAST 90 STREET,2020000000000,151 E 90 LLC,05/14/2021,15000000,0.05192,0.0556,2021Q2,10128,40.781869,-73.95325,8,5,14802,1048256,Upper East Side-Carnegie Hill,"(40.781869, -73.95325)"
QN,4,3774,27,4037740027,67-28,67-28,78 STREET,2020000000000,78TH ST. MAZAL LLC,03/15/2021,2125000,0.04117,0.04961,2021Q1,11379,40.712272,-73.875432,5,30,619,4091467,Middle Village,"(40.712272, -73.875432)"
MN,1,1988,101,1019880101,505,505,WEST 135 STREET,2020000000000,SKYLINE 135TH LLC,05/03/2018,7210000,0.01865,0.03345,2018Q2,10031,40.819153,-73.952689,9,7,22301,1059794,Manhattanville,"(40.819153, -73.952689)"
MN,1,2137,112,1021370112,611,611,WEST 163 STREET,2020000000000,RIVERSIDE FLATS LLC,06/25/2019,7910000,0.02725,0.0351,2019Q2,10032,40.838043,-73.94269,12,7,245,1063367,Washington Heights South,"(40.838043, -73.94269)"
BK,3,1152,78,3011520078,269,269,PROSPECT PLACE,2020000000000,M&M PARK SLOPE REALTY LLC,02/23/2021,6400000,0.05762,0.0638,2021Q1,11238,40.677389,-73.967506,8,35,205,3028527,Prospect Heights,"(40.677389, -73.967506)"
BK,3,5065,30,3050650030,140,140,CLARKSON AVENUE,2020000000000,140 CLARKSON LLC,06/13/2018,14400000,0.02087,0.03671,2018Q2,11226,40.655119,-73.955004,17,40,822,3116228,Prospect Lefferts Gardens-Wingate,"(40.655119, -73.955004)"
BX,2,3302,42,2033020042,246,246,EAST 199 STREET,2020000000000,"MAC BRONX PORTFOLIO I, LLC",11/14/2018,8250000,0.02658,0.03443,2018Q4,10458,40.870409,-73.887396,7,15,40702,2017092,Bedford Park-Fordham North,"(40.870409, -73.887396)"
BX,2,3090,1,2030900001,2400,2400,CAMBRELENG AVENUE,2020000000000,POINT 2400 HOLDINGS LLC,02/28/2019,3900000,0.03653,0.03667,2019Q1,10458,40.854627,-73.885301,6,15,389,2012534,Belmont,"(40.854627, -73.885301)"
QN,4,10475,350,4104750350,201-11,201-11,JAMAICA AVENUE,2020000000000,BR JAMAICA PARTNERS LLC,06/26/2018,10208334,0.02805,0.03129,2018Q2,11423,40.713505,-73.758005,12,23,484,4222673,Hollis,"(40.713505, -73.758005)"
BK,3,1206,28,3012060028,1232,1234,PACIFIC STREET,2020000000000,PACIFIC 1234 LLC,08/31/2020,5585336,0.05644,0.06425,2020Q3,11216,40.677712,-73.950857,8,36,315,3029995,Crown Heights North,"(40.677712, -73.950857)"
BK,3,5194,1,3051940001,2802,2812,CLARENDON ROAD,2020000000000,2802 CLARENDON PARTNERS LLC,05/15/2019,6487500,0.03111,0.03325,2019Q2,11226,40.643133,-73.950443,17,45,828,3119966,Erasmus,"(40.643133, -73.950443)"
BK,3,2449,16,3024490016,331,337,KEAP STREET,2020000000000,"WEST 8TH STREET ASSOCIATES, LLC",02/15/2019,15500000,0.01228,0.03386,2019Q1,11211,40.708763,-73.954816,1,34,527,3063481,North Side-South Side,"(40.708763, -73.954816)"
MN,1,1287,8,1012870008,5,5,EAST 51 STREET,2020000000000,5 EAST 51ST ST DEVELOPMENT COMPANY LLC,02/15/2019,44000000,0.00776,0.03299,2019Q1,10022,40.758998,-73.976324,5,4,102,1035467,Midtown-Midtown South,"(40.758998, -73.976324)"
BK,3,5065,80,3050650080,177,177,LENOX ROAD,2020000000000,M&M LENOX REALTY LLC,01/15/2020,2500000,0.04869,0.05115,2020Q1,11226,40.653925,-73.953855,17,40,822,3116248,Prospect Lefferts Gardens-Wingate,"(40.653925, -73.953855)"
MN,1,2077,38,1020770038,510,512,WEST 146 STREET,2020000000000,"510-512 WEST 146TH OWNER, LLC",12/10/2018,5300000,0.02309,0.03253,2018Q4,10031,40.826172,-73.947766,9,7,229,1061948,Hamilton Heights,"(40.826172, -73.947766)"
BX,2,3058,42,2030580042,495,495,EAST 188 STREET,2020000000000,EAST 188 REALTY 495 LLC,07/26/2018,6416395,0.02033,0.03426,2018Q3,10458,40.858148,-73.890089,6,15,387,2011777,Belmont,"(40.858148, -73.890089)"
BX,2,3292,19,2032920019,2968,2968,PERRY AVENUE,2020000000000,2968 PERRY AVENUE ASSOCIATES LLC,07/22/2020,4950000,0.04333,0.046565,2020Q3,10458,40.870123,-73.884005,7,11,415,2016735,Bedford Park-Fordham North,"(40.870123, -73.884005)"
BX,2,2463,46,2024630046,1197,1197,GRAND CONCOURSE,2020000000000,QC CONCOURSE LLC,10/04/2018,12575000,0.02853,0.03443,2018Q4,10452,40.834224,-73.918001,4,16,197,2002843,West Concourse,"(40.834224, -73.918001)"
MN,1,1369,45,1013690045,400,400,EAST 58 STREET,2020000000000,"400 EAST 58TH STREET, LLC",09/09/2020,62000000,0.05607,0.06063,2020Q3,10022,40.758832,-73.962102,6,5,10601,1040555,Turtle Bay-East Midtown,"(40.758832, -73.962102)"
MN,1,454,59,1004540059,323,325,EAST 12 STREET,2020000000000,EVP 325 EAST 12TH ST LLC,04/23/2021,19475951,0.02831,0.0556,2021Q2,10003,40.730701,-73.985142,3,2,40,1006505,East Village,"(40.730701, -73.985142)"
BK,3,5417,53,3054170053,287,287,WEBSTER AVENUE,2020000000000,287 WEBSTER REALTY LLC,10/11/2018,4380000,0.0309,0.03398,2018Q4,11230,40.633009,-73.970475,14,40,482,3127745,Flatbush,"(40.633009, -73.970475)"
MN,1,2132,21,1021320021,247,251,AUDUBON AVENUE,2020000000000,STF 247 AUDUBON AVENUE HOLDING LLC,06/25/2018,13650000,0.03186,0.03345,2018Q2,10033,40.846473,-73.933976,12,10,261,1063183,Washington Heights South,"(40.846473, -73.933976)"
BX,2,2805,45,2028050045,124,124,EAST 177 STREET,2020000000000,V & S 177 LLC,03/26/2021,6350000,0.04553,0.04804,2021Q1,10453,40.849556,-73.907482,5,14,23301,2007627,Mount Hope,"(40.849556, -73.907482)"
BK,3,2298,29,3022980029,169,169,NORTH 10 STREET,2020000000000,MCCARREN MANAGEMENT LLC,04/17/2020,15750000,0.0554,0.056205,2020Q2,11211,40.719149,-73.955372,1,33,517,3398411,North Side-South Side,"(40.719149, -73.955372)"
MN,1,310,3,1003100003,38,38,LUDLOW STREET,2020000000000,PARK 80 HOLDING LLC,05/09/2018,7100000,0.02758,0.03345,2018Q2,10002,40.71605,-73.990415,3,1,16,1004021,Chinatown,"(40.71605, -73.990415)"
BX,2,2844,105,2028440105,1459,1459,WYTHE PLACE,2020000000000,1459 WYTHE A LLC*1459 WYTHE B LLC,07/10/2018,14000000,0.02818,0.03426,2018Q3,10452,40.840561,-73.914173,4,14,223,2008120,West Concourse,"(40.840561, -73.914173)"
MN,1,1821,49,1018210049,120,120,WEST 112 STREET,2020000000000,"120 WEST 112TH OWNER, LLC",12/10/2018,8200000,0.02827,0.03253,2018Q4,10026,40.800096,-73.953082,10,9,216,1054962,Central Harlem South,"(40.800096, -73.953082)"
QN,4,1576,1,4015760001,43-05,43-05,FORLEY STREET,2020000000000,FORLEY CL REALTY LLC,04/13/2018,4900000,0.02625,0.03129,2018Q2,11373,40.744447,-73.873524,4,25,463,4039370,Elmhurst,"(40.744447, -73.873524)"
MN,1,2175,100,1021750100,20,20,SHERMAN AVENUE,2020000000000,20 SHERMAN AVE. LLC,02/12/2020,7850000,0.04193,0.05603,2020Q1,10040,40.862669,-73.928479,12,10,287,1064239,Washington Heights North,"(40.862669, -73.928479)"
BX,2,2456,37,2024560037,1060,1060,SHERIDAN AVENUE,2020000000000,1048-1064 SHERIDAN INVESTORS LLC,06/15/2018,5220000,0.0365,0.03665,2018Q2,10456,40.830777,-73.918674,4,16,18102,2002734,East Concourse-Concourse Village,"(40.830777, -73.918674)"
MN,1,408,11,1004080011,249,251,BROOME STREET,2020000000000,"M & M BROOME STREET, LLC",06/11/2019,22500000,0.01684,0.0351,2019Q2,10002,40.718013,-73.989896,3,1,18,1005275,Chinatown,"(40.718013, -73.989896)"
MN,1,1901,23,1019010023,117,117,WEST 116 STREET,2020000000000,"117 WEST 116TH OWNER, LLC",12/10/2018,6900000,0.03245,0.03253,2018Q4,10026,40.802357,-73.950451,10,9,218,1057404,Central Harlem South,"(40.802357, -73.950451)"
MN,1,274,13,1002740013,73,73,MONROE STREET,2020000000000,73 SHANTHI LLC,04/14/2020,7875000,0.03199,0.06158,2020Q2,10002,40.711744,-73.992678,3,1,8,1003268,Chinatown,"(40.711744, -73.992678)"
BK,3,1219,56,3012190056,665,665,ST MARKS AVENUE,2020000000000,"OR 665 ST. MARKS, LLC",10/06/2020,4330000,0.05462,0.0624,2020Q4,11216,40.675272,-73.9511,8,36,315,3030680,Crown Heights North,"(40.675272, -73.9511)"
BK,3,1777,52,3017770052,879,881,DEKALB AVENUE,2020000000000,879 DEKALB OWNER LLC,12/06/2018,6900000,0.03386,0.03398,2018Q4,11221,40.692543,-73.941257,3,36,281,3049581,Stuyvesant Heights,"(40.692543, -73.941257)"
BK,3,5646,6,3056460006,5001,5009,10 AVENUE,2020000000000,5001 10TH LLC,11/29/2018,8623000,0.02911,0.03398,2018Q4,11219,40.638335,-73.999416,12,44,114,3137932,Borough Park,"(40.638335, -73.999416)"
BX,2,4441,46,2044410046,2561,2561,BRONXWOOD AVENUE,2020000000000,2561 REALTY LLC,04/01/2019,2700000,0.0269,0.03691,2019Q2,10469,40.863994,-73.861626,11,13,328,2051555,Bronxdale,"(40.863994, -73.861626)"
QN,4,628,12,4006280012,28-15,28-15,34 STREET,2020000000000,66/68 N. 6 REALTY CORP.,01/22/2019,25000000,0.02038,0.03234,2019Q1,11103,40.767101,-73.917889,1,22,6501,4009162,Astoria,"(40.767101, -73.917889)"
BX,2,5776,614,2057760614,226,230,WEST 242 STREET,2020000000000,226 W 242 LLC,02/13/2020,9690000,0.03783,0.04097,2020Q1,10471,40.889592,-73.89944,8,11,285,2084020,Spuyten Duyvil-Kingsbridge,"(40.889592, -73.89944)"
BK,3,1473,51,3014730051,1671,1671,LINCOLN PLACE,2020000000000,1671 LINCOLN PLACE NY LLC,06/27/2018,3900000,0.03447,0.03671,2018Q2,11233,40.669223,-73.921408,16,41,361,3039507,Ocean Hill,"(40.669223, -73.921408)"
