bbl,isn_dob_bis_extract,dob_violation_number,ecb_violation_status,issue_date,violation_type,elig_flag,qual_flag,swl_flag
1019880021,NA,NA,NA,NA,NA,T,F,F
1019880025,NA,NA,NA,NA,NA,T,F,F
1019880029,NA,NA,NA,NA,NA,T,F,F
1019880033,NA,NA,NA,NA,NA,T,F,F
1019880034,NA,NA,NA,NA,NA,T,F,F
1019880036,1411528,,ACTIVE,2020-02-19T00:00:00Z,Construction,T,F,F
1019880037,NA,NA,NA,NA,NA,T,T,T
1019880044,NA,NA,NA,NA,NA,T,F,F
1019880048,1014197,021417C09DM01,ACTIVE,2017-02-14T00:00:00Z,Construction,T,F,F
1019880050,NA,NA,NA,NA,NA,T,F,F
1019880074,1493659,,ACTIVE,2019-08-23T00:00:00Z,Construction,T,F,F
1019880074,1352850,,ACTIVE,2019-10-24T00:00:00Z,Construction,T,F,F
1019880074,866059,,ACTIVE,2019-10-02T00:00:00Z,Construction,T,F,F
1019880080,NA,NA,NA,NA,NA,T,F,F
1019880081,NA,NA,NA,NA,NA,T,F,F
1019880085,NA,NA,NA,NA,NA,T,F,F
1019880096,NA,NA,NA,NA,NA,T,F,F
1019880098,NA,NA,NA,NA,NA,T,F,F
1019880099,NA,NA,NA,NA,NA,T,F,F
1019880101,674582,020617PLOBMSR02,RESOLVE,2017-02-06T00:00:00Z,Construction,T,T,T
1019880101,1286277,020617COBMSR01,RESOLVE,2017-02-06T00:00:00Z,Construction,T,T,T
1019880105,NA,NA,NA,NA,NA,T,F,F
1019880106,NA,NA,NA,NA,NA,T,F,F
1019880107,NA,NA,NA,NA,NA,T,F,F
1019880109,NA,NA,NA,NA,NA,T,F,F
1019880115,NA,NA,NA,NA,NA,T,F,F
1019880118,NA,NA,NA,NA,NA,T,F,F
1019880120,NA,NA,NA,NA,NA,T,F,F
1019880121,1350702,092418CMTFEC05,RESOLVE,2018-09-24T00:00:00Z,Construction,T,F,F
1019880121,671494,052217COBMCJ02,RESOLVE,2017-05-22T00:00:00Z,Construction,T,F,F
1019880123,NA,NA,NA,NA,NA,T,T,F
1019880127,1591868,01142020C09DA03,ACTIVE,2020-01-14T00:00:00Z,Construction,T,F,F
1019880127,467016,01142020C09DA04,ACTIVE,2020-01-14T00:00:00Z,Construction,T,F,F
1019880127,466518,01142020C09DA02,ACTIVE,2020-01-14T00:00:00Z,Construction,T,F,F
1019900052,NA,NA,NA,NA,NA,T,F,F
1019900054,NA,NA,NA,NA,NA,T,F,F
1019900064,NA,NA,NA,NA,NA,T,F,F
1019930015,1253949,012518C09KH01,RESOLVE,2017-12-01T00:00:00Z,Construction,T,F,F
1019930047,NA,NA,NA,NA,NA,T,F,F
1019930082,NA,NA,NA,NA,NA,T,F,F
1019930083,1164087,090717CSPOKK02,RESOLVE,2017-07-20T00:00:00Z,Construction,T,F,F
1019930086,1184154,062916PL09DB08,RESOLVE,2016-06-29T00:00:00Z,Construction,T,F,F
1019930088,NA,NA,NA,NA,NA,T,F,F
1019930102,NA,NA,NA,NA,NA,T,F,F
1019930105,891714,100918C09EH01,RESOLVE,2018-10-09T00:00:00Z,Construction,T,F,F
1019940045,NA,NA,NA,NA,NA,T,F,F
1019940062,NA,NA,NA,NA,NA,T,T,T
1019940072,NA,NA,NA,NA,NA,T,F,F
1019940081,NA,NA,NA,NA,NA,T,F,F
1019990029,NA,NA,NA,NA,NA,T,F,F
1019990036,NA,NA,NA,NA,NA,T,F,F
1020010055,NA,NA,NA,NA,NA,T,F,F
1020010058,NA,NA,NA,NA,NA,T,F,F
1020020011,NA,NA,NA,NA,NA,T,F,F
1020020014,NA,NA,NA,NA,NA,T,F,F
1020020017,NA,NA,NA,NA,NA,T,F,F
1020020019,NA,NA,NA,NA,NA,T,F,F
1020020021,NA,NA,NA,NA,NA,T,F,F
1020020022,NA,NA,NA,NA,NA,T,F,F
